Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,merged_exploration_merged_map,with_human_knowledge
137.053326911,233207.0,71.3121655982228,269675.0,0.0,365968.0,0,0,0,552053.0,563094.06
138.053531365,236998.0,72.6285728923791,269675.0,0.0,366835.0,0,0,0,552053.0,563094.06
139.056182961,240677.0,73.7133519034729,271382.0,0.0,369220.0,0,0,0,553684.0,564757.68
140.054714478,242335.0,74.3097703214996,271382.0,0.0,369529.0,0,0,0,553684.0,564757.68
141.052586507,245626.0,75.6180436569118,272734.0,0.0,370947.0,0,0,0,554848.0,565944.96
142.052875166,248854.0,76.8224361907055,274050.0,0.0,372165.0,0,0,0,556156.0,567279.12
143.054654124,252431.0,78.1629185891893,275149.0,0.0,372656.0,0,0,0,557321.0,568467.42
144.055264484,254610.0,79.3903311035588,275149.0,0.0,373190.0,0,0,0,557321.0,568467.42
145.057052124,258387.0,80.683354070459,280141.0,0.0,373951.0,0,0,0,562596.0,573847.92
146.055588296,262188.0,81.6656939435614,285423.0,0.0,375004.0,0,0,0,562596.0,573847.92
147.055774525,265774.0,82.9498440294245,285423.0,0.0,375258.0,0,0,0,567692.0,579045.84
148.057140082,269532.0,84.1598618307339,288606.0,0.0,376665.0,0,0,0,570812.0,582228.24
149.055819588,271245.0,85.4498332566536,288606.0,0.0,376876.0,0,0,0,570812.0,582228.24
150.060169336,274734.0,86.4581201542402,292023.0,0.0,377943.0,0,0,0,574077.0,585558.54
151.056780764,278455.0,87.5895125233271,292023.0,0.0,378448.0,0,0,0,574077.0,585558.54
152.063011099,281512.0,88.9740028511965,292023.0,0.0,378635.0,0,0,0,574077.0,585558.54
153.058714119,285528.0,90.2738191979433,292023.0,0.0,379657.0,0,0,0,574077.0,585558.54
154.057941072,288902.0,91.2393399073192,292023.0,0.0,380030.0,0,0,0,574077.0,585558.54
155.062448358,291025.0,92.5393307616314,297699.0,0.0,381050.0,0,0,0,579724.0,591318.48
156.060488663,293169.0,93.8009784867071,297699.0,0.0,381679.0,0,0,0,579724.0,591318.48
157.059971919,297795.0,95.0679283324419,300587.0,0.0,382954.0,0,0,0,579724.0,591318.48
158.060075901,301963.0,95.9546082788726,304058.0,0.0,384431.0,0,0,0,584349.0,596035.98
159.060152846,303503.0,97.237897565105,304058.0,0.0,384770.0,0,0,0,586694.0,598427.88
160.060431531,307380.0,98.5924120137594,304582.0,0.0,386000.0,0,0,0,587123.0,598865.46
161.061123281,311633.0,99.8402214054799,304582.0,0.0,386451.0,0,0,0,587123.0,598865.46
162.062715846,315787.0,100.816417997211,305168.0,0.0,386899.0,0,0,0,587977.0,599736.54
163.065716101,319902.0,102.072544979272,307316.0,0.0,387446.0,0,0,0,590520.0,602330.4
164.064592241,321892.0,103.381739080116,307316.0,0.0,387458.0,0,0,0,590520.0,602330.4
165.068036219,326716.0,104.655610084519,308518.0,0.0,387442.0,0,0,0,591581.0,603412.62
166.065096378,332234.0,105.601000803976,308518.0,0.0,387510.0,0,0,0,591582.0,603413.64
167.070435494,336131.0,106.845794674668,308518.0,0.0,388683.0,0,0,0,591635.0,603467.7
