Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,tb uncoordinated traj
92.036679829,222072.0,34.37276730374,150550.0,59.20925280761628,268460.0,0.0,0.0,0.0,29.063450343866
93.036646208,225563.0,35.441685118563,157763.0,61.18310690312327,275967.0,0.0,0.0,0.0,29.841882249917
94.036190171,229193.0,36.472994348045,157763.0,62.68850721379202,276181.0,0.0,0.0,0.0,29.841882249917
95.038906754,232853.0,37.333537966276,164943.0,64.51447087899861,283727.0,0.0,0.0,0.0,29.851215979987
96.039323694,236631.0,38.30846044078,164943.0,65.69358727722074,283931.0,0.0,0.0,0.0,31.065910001183
97.044108499,240089.0,39.510885181055,171546.0,66.95235788554618,290721.0,0.0,0.0,0.0,31.458442428022
98.04167926,243572.0,40.80220973688,171546.0,69.19100536126729,290986.0,0.0,0.0,0.0,31.835158179101
99.043177446,247052.0,42.063471004048,178292.0,70.85101715466226,298138.0,0.0,0.0,0.0,33.096105988211
100.044674286,249778.0,43.40230727834,183788.0,72.68538410446546,304048.0,0.0,0.0,0.0,34.381313008562
101.045733557,252495.0,44.149280054734,183788.0,74.18311687901634,304635.0,0.0,0.0,0.0,35.451061261326
102.048248987,255304.0,44.149280054734,189580.0,75.6759015307815,310446.0,0.0,0.0,0.0,36.483343371217
103.049539407,258043.0,44.149280054734,189580.0,77.39735513726403,310446.0,0.0,0.0,0.0,37.343899658445
104.049320123,263363.0,44.149280054734,200825.0,78.8229948071213,321691.0,0.0,0.0,0.0,38.320423155069
105.047969171,268860.0,44.747174634071,200825.0,80.66498135021713,321691.0,0.0,0.0,0.0,39.515882701783
106.049522993,275594.0,46.001918771765,214581.0,80.87840239664303,322326.0,0.0,0.0,0.0,40.812087934126
107.04844075,282512.0,47.333352698363,214581.0,83.41373516477765,336442.0,0.0,0.0,0.0,42.070507174345
108.049138912,286528.0,48.614160207684,222466.0,86.09351782673559,344598.0,0.0,0.0,0.0,43.405638703537
109.048700032,290708.0,49.897188069692,222466.0,87.849761284281,344810.0,0.0,0.0,0.0,44.149280054734
