Time Elapsed (s),Explored Cells,Trajectory Length (m)
388.041746437,295510,99.76730842760675
389.036199718,295510,99.76730842760675
390.036029623,295510,99.76744545172369
391.035675669,295510,99.76744545172369
392.038401748,295510,99.76745117376959
393.035383445,295510,99.76745880316412
394.033462099,295510,99.76745880316412
395.042418421,295510,99.76747024725591
396.056197647,295510,99.76747978399908
397.035689384,295510,99.7675160236231
398.040301363,295677,99.76753128241216
399.057263185,295677,99.76753128241216
400.044184719,295677,99.84090860962323
401.037843683,295677,99.90211800103887
402.042179879,295677,99.90737337702268
403.035567968,296191,99.96140188014775
404.039736755,296191,99.98586706871832
405.036716031,296191,100.20314985629338
406.037091432,296191,100.56548282139686
407.039383681,296191,100.58526852157401
408.037737821,297063,100.58526852157401
409.034913328,297063,100.58545917308203
410.035713291,297063,100.5856160957403
411.057843496,297063,100.5856160957403
412.035239413,297063,100.5856160957403
413.039142357,297063,100.58579116707277
414.037935869,297063,100.58854816678267
415.036165134,297063,100.58896543607906
416.036890583,297063,100.58896543607906
417.035376484,297063,100.58896543607906
418.035133744,297063,100.58919745269847
419.038935754,297063,100.5892165261848
420.038135223,297063,100.5892165261848
421.056429006,297063,100.5892165261848
422.034187332,297063,100.58924132171703
423.039941703,297063,100.58924704376292
424.035918008,297063,100.58930675321972
425.057861089,297063,100.58931628996288
426.040994447,297063,100.59289901984171
427.040487382,297063,100.59289901984171
428.036675778,297562,100.64790772372817
429.034711766,297562,100.64790772372817
430.058655339,297562,100.64790772372817
431.058081989,297562,100.64790772372817
432.055802984,297562,100.64790772372817
433.03743519,297562,100.7454179210993
434.035495922,297562,100.74548575846237
435.03201678,297562,100.74550941554442
436.058105102,297562,100.74550941554442
437.032910818,297562,100.74967731555269
438.037862376,297562,100.74970157387483
439.036334515,297562,100.74971683266389
440.036185308,297562,100.74971683266389
441.034115152,297562,100.74972851156103
442.034067571,297562,100.74972851156103
443.034274201,297562,100.74973041890966
444.057442185,297562,100.74974019045817
445.036850154,297562,100.7497420978068
446.036125737,297562,100.7497420978068
447.035947688,297562,100.7497988073586
448.036077456,297637,100.7506293629723
449.036973978,297637,100.83918395952288
450.043106873,297637,100.83918395952288
451.038902605,297637,100.83918395952288
452.036975792,297637,100.83918395952288
453.037531339,298517,101.63671557364304
454.038183322,298517,101.63671557364304
455.038646817,298517,101.63671557364304
456.056412572,298517,101.63671557364304
457.035253618,298517,103.1456416226021
458.03800841,302356,103.4426619521529
459.036717532,302356,103.58723329009317
460.040039398,302356,103.71025472387319
461.039702691,302356,103.72336987592956
462.04261668,302356,103.72336987592956
463.04117557,311318,103.8171238020705
464.050068209,311318,104.09331034030933
465.040087579,311318,104.09331034030933
466.038780705,311318,104.09331034030933
