Time Elapsed (s),Explored Cells,Trajectory Length (m)
326.036099354,282632,0.0
327.035044555,282632,0.0
328.033513108,282632,0.0
329.036158353,282632,0.0
330.036122008,283621,0.0
331.032884049,283621,0.0
332.033767276,283621,0.0
333.037641111,283621,0.0
334.035020264,283621,0.0
335.032516105,285966,0.0
336.035036253,285966,0.0
337.056430891,285966,0.0
338.058516861,285966,0.0
339.037334492,285966,0.0
340.035896767,287531,0.0
341.034640767,287531,0.0
342.036996211,287531,0.0
343.035505525,287531,0.0
344.03488407,287531,0.0
345.036735236,289017,0.0
346.033902344,289017,0.0
347.036455989,289017,0.0
348.038959371,289017,0.0
349.036901221,289017,0.0
350.034303278,289986,0.0
351.037841643,289986,0.0
352.034578512,289986,0.0
353.037107006,289986,0.0
354.032272963,289986,0.0
355.035139305,291616,0.0
356.035895752,291616,0.0
357.058049283,291616,0.0
358.058030644,291616,0.0
359.05898021,291616,0.0
360.037978898,292129,0.0
361.034047548,292129,0.0
362.036334959,292129,0.0
363.033088926,292129,0.0
364.036615519,292129,0.0
365.032478743,293316,0.0
366.036343531,293316,0.0
367.03125199,293316,0.0
368.034368691,293316,0.0
369.032349101,293316,0.0
370.034431212,294444,0.0
371.033922715,294444,0.0
372.037661875,294444,0.0
373.037565188,294444,0.0
374.036122776,294444,0.0
375.034661561,294769,0.0
376.037818281,294769,0.0
377.035442591,294769,0.0
378.052349635,294769,0.0
379.038504214,294769,0.0
380.038046843,297905,0.0
381.034163069,297905,0.0
382.034938978,297905,0.0
383.038497014,297905,0.0
384.036805703,297905,0.0
385.036917407,302608,0.0
386.036544052,302608,0.0
387.035606398,302608,0.0
388.038569916,302608,0.0
389.033636495,302608,0.0
390.035185209,308130,0.0
391.033442417,308130,0.0
392.034170264,308130,0.0
393.036634772,308130,0.0
394.036252348,308130,0.0
395.038867951,312674,0.0
396.038015334,312674,0.0
397.037390472,312674,0.0
398.035414994,312674,0.0
399.039619492,312674,0.0
400.038381452,317204,0.0
401.036762283,317204,0.0
402.03453992,317204,0.0
403.037968765,317204,0.0
404.040998274,317204,0.0
405.041615465,321970,0.0
406.037164084,321970,0.0
407.036629987,321970,0.0
